"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","3,744.31","3,765.78","3,779.54","3,717.30","","-0.53%"
"09/23/2025","3,764.19","3,746.47","3,791.11","3,736.73","","0.47%"
"09/22/2025","3,746.47","3,686.80","3,749.25","3,683.62","","1.63%"
"09/21/2025","3,686.38","3,687.53","3,692.17","3,683.62","","0.04%"
"09/19/2025","3,684.98","3,645.04","3,686.33","3,632.28","","1.11%"
"09/18/2025","3,644.36","3,659.40","3,673.18","3,627.89","","-0.43%"
"09/17/2025","3,660.04","3,691.80","3,707.70","3,645.44","","-0.81%"
"09/16/2025","3,689.80","3,678.84","3,703.23","3,674.66","","0.29%"
"09/15/2025","3,679.13","3,644.40","3,685.65","3,626.60","","0.99%"
"09/12/2025","3,643.13","3,635.01","3,656.86","3,630.48","","0.25%"
"09/11/2025","3,634.09","3,642.60","3,649.27","3,614.01","","-0.18%"
"09/10/2025","3,640.74","3,629.05","3,657.77","3,619.58","","0.39%"
"09/09/2025","3,626.48","3,637.10","3,674.75","3,625.33","","-0.26%"
"09/08/2025","3,635.84","3,586.82","3,646.60","3,579.67","","1.37%"
"09/05/2025","3,586.81","3,547.00","3,600.33","3,540.05","","1.15%"
"09/04/2025","3,546.17","3,560.57","3,564.45","3,511.19","","-0.37%"
"09/03/2025","3,559.43","3,535.69","3,578.80","3,526.26","","0.73%"
"09/02/2025","3,533.73","3,478.36","3,540.64","3,470.20","","1.65%"
"09/01/2025","3,476.47","3,448.00","3,490.06","3,436.80","","0.83%"
"08/29/2025","3,448.00","3,418.20","3,454.08","3,404.29","","0.90%"
"08/28/2025","3,417.20","3,394.18","3,423.36","3,384.46","","0.58%"
"08/27/2025","3,397.42","3,392.88","3,398.94","3,373.76","","0.13%"
"08/26/2025","3,392.88","3,366.78","3,394.33","3,351.26","","0.77%"
"08/25/2025","3,366.79","3,371.23","3,376.47","3,359.69","","-0.16%"
"08/22/2025","3,372.11","3,338.76","3,379.01","3,321.49","","1.00%"
"08/21/2025","3,338.81","3,347.38","3,353.25","3,325.27","","-0.25%"
"08/20/2025","3,347.11","3,315.46","3,350.50","3,311.46","","0.95%"
"08/19/2025","3,315.46","3,332.38","3,345.46","3,314.88","","-0.45%"
"08/18/2025","3,330.55","3,338.00","3,358.50","3,323.52","","-0.15%"
"08/15/2025","3,335.39","3,336.50","3,349.02","3,332.16","","-0.03%"
"08/14/2025","3,336.50","3,354.73","3,374.97","3,329.85","","-0.54%"
"08/13/2025","3,354.73","3,346.20","3,370.90","3,342.65","","0.25%"
